https://tr.highstar.shop:443/announce # detected by antivirus software
http://btracker.top:11451/announce # detected by antivirus software
https://tr.fuckbitcoin.xyz:443/announce # detected by antivirus software
https://tracker.jiesen.life:8443/announce # detected by antivirus software
http://p2p.0g.cx:6969/announce # detected by antivirus software
http://bt-club.ws/announce # error
http://open.touki.ru/announce.php # malfunction
udp://anidex.moe:6969/announce # malfunction
http://open.touki.ru/announce # malfunction
http://torrentsmd.com:8080/announce # malfunction
http://irrenhaus.dyndns.dk:80/announce.php # malfunction
http://carbon-bonsai-621.appspot.com/announce # malfunction
https://carbon-bonsai-621.appspot.com/announce # malfunction
https://academic-p2p.appspot.com/announce # malfunction
http://bt.okmp3.ru:2710/announce # fake seeds
udp://tracker.breizh.pm:6969/announce # requested by sysadmin
http://tracker.breizh.pm:6969/announce # requested by sysadmin
https://torrents.linuxmint.com:443/announce.php # registered torrents
http://torrents.linuxmint.com:80/announce.php # registered torrents
http://ed2k.vip:7070/announce # registered torrents
http://tracker.ddunlimited.net:6969/announce # registered torrents
http://tracker.linkomanija.org:2710/announce # registered torrents
http://torrent.rus.ec:2710/announce # registered torrents
http://tracker.shittyurl.org:80/announce # registered torrents
https://tracker.shittyurl.org:443/announce # registered torrents
http://announce.partis.si:80/announce # registered torrents
http://tracker.xdvdz.com:2710/announce # registered torrents
http://60-fps.org:80/bt/announce.php # registered torrents
http://alltorrents.net:80/bt/announce.php # registered torrents
http://beertracker.ml:80/announce # registered torrents
http://btx.anifilm.tv:80/announce.php # registered torrents
http://bt.ali213.net:8080/announce # registered torrents
http://freerainbowtables.com:6969/announce # registered torrents
https://tracker.acgnx.se:443/announce # registered torrents
http://www.freerainbowtables.com:6969/announce # registered torrents
http://www.legittorrents.info:80/announce.php # registered torrents
http://bttracker.debian.org:6969/announce # registered torrents
http://tracker.frozen-layer.net:6969/announce.php # registered torrents
udp://git.vulnix.sh:6969/announce # registered torrents
udp://tracker.vulnix.sh:6969/announce # registered torrents
http://kaztorka.org:80/announce.php # registered torrents
http://music-torrent.net:2710/announce # registered torrents
http://mixfiend.com:6969/announce # registered torrents
http://bt.unionpeer.org:777/announce # registered torrents
